employeeNumber,date,hoursWorked,remarks
10001,12/01/2025,8,Present
10001,12/02/2025,8,Present
10001,12/03/2025,8,Present
10001,12/04/2025,8,Present
10001,12/05/2025,8,Present

10002,12/01/2025,8,Present
10002,12/02/2025,8,Present
10002,12/03/2025,8,Present
10002,12/04/2025,8,Present
10002,12/05/2025,8,Present

10003,12/01/2025,8,Present
10003,12/02/2025,8,Present
10003,12/03/2025,8,Present
10003,12/04/2025,8,Present
10003,12/05/2025,8,Present

10004,12/01/2025,8,Present
10004,12/02/2025,8,Present
10004,12/03/2025,8,Present
10004,12/04/2025,8,Present
10004,12/05/2025,8,Present

10005,12/01/2025,8,Present
10005,12/02/2025,8,Present
10005,12/03/2025,8,Present
10005,12/04/2025,8,Present
10005,12/05/2025,8,Present

10006,12/01/2025,8,Present
10006,12/02/2025,8,Present
10006,12/03/2025,8,Present
10006,12/04/2025,8,Present
10006,12/05/2025,8,Present

10010,12/01/2025,8,Present
10010,12/02/2025,8,Present
10010,12/03/2025,8,Present
10010,12/04/2025,8,Present
10010,12/05/2025,8,Present

10011,12/01/2025,8,Present
10011,12/02/2025,8,Present
10011,12/03/2025,8,Present
10011,12/04/2025,8,Present
10011,12/05/2025,8,Present

10015,12/01/2025,8,Present
10015,12/02/2025,8,Present
10015,12/03/2025,8,Present
10015,12/04/2025,8,Present
10015,12/05/2025,8,Present

10032,12/01/2025,8,Present
10032,12/02/2025,8,Present
10032,12/03/2025,8,Present
10032,12/04/2025,8,Present
10032,12/05/2025,8,Present

10033,12/01/2025,8,Present
10033,12/02/2025,8,Present
10033,12/03/2025,8,Present
10033,12/04/2025,8,Present
10033,12/05/2025,8,Present

10034,12/01/2025,8,Present
10034,12/02/2025,8,Present
10034,12/03/2025,8,Present
10034,12/04/2025,8,Present
10034,12/05/2025,8,Present
